"filename", "language", "HTML", "JavaScript", "comment", "blank", "total"
"c:\Users\Ana\Documents\GitHub\GondringPortfoliohtml2024\mainpages\Projects.html", "HTML", 146, 0, 0, 16, 162
"c:\Users\Ana\Documents\GitHub\GondringPortfoliohtml2024\mainpages\blog.html", "HTML", 114, 0, 0, 14, 128
"c:\Users\Ana\Documents\GitHub\GondringPortfoliohtml2024\mainpages\codingprojects.html", "HTML", 133, 0, 0, 20, 153
"c:\Users\Ana\Documents\GitHub\GondringPortfoliohtml2024\mainpages\emailprojects.html", "HTML", 112, 0, 0, 8, 120
"c:\Users\Ana\Documents\GitHub\GondringPortfoliohtml2024\mainpages\navbar.html", "HTML", 14, 0, 0, 2, 16
"c:\Users\Ana\Documents\GitHub\GondringPortfoliohtml2024\mainpages\navbar.js", "JavaScript", 0, 38, 1, 2, 41
"c:\Users\Ana\Documents\GitHub\GondringPortfoliohtml2024\mainpages\resume.html", "HTML", 208, 0, 0, 25, 233
"c:\Users\Ana\Documents\GitHub\GondringPortfoliohtml2024\mainpages\uxcasestudies.html", "HTML", 154, 0, 0, 24, 178
"c:\Users\Ana\Documents\GitHub\GondringPortfoliohtml2024\mainpages\videoprojects.html", "HTML", 104, 0, 0, 11, 115
"Total", "-", 985, 38, 1, 122, 1146
