"filename", "language", "CSS", "HTML", "JavaScript", "comment", "blank", "total"
"c:\Users\Ana\Documents\GitHub\GondringPortfoliohtml2024\css\footer.css", "CSS", 0, 0, 0, 0, 2, 2
"c:\Users\Ana\Documents\GitHub\GondringPortfoliohtml2024\css\style.css", "CSS", 838, 0, 0, 4, 235, 1077
"c:\Users\Ana\Documents\GitHub\GondringPortfoliohtml2024\mainpages\Projects.html", "HTML", 0, -146, 0, 0, -16, -162
"c:\Users\Ana\Documents\GitHub\GondringPortfoliohtml2024\mainpages\blog.html", "HTML", 0, -114, 0, 0, -14, -128
"c:\Users\Ana\Documents\GitHub\GondringPortfoliohtml2024\mainpages\codingprojects.html", "HTML", 0, -133, 0, 0, -20, -153
"c:\Users\Ana\Documents\GitHub\GondringPortfoliohtml2024\mainpages\emailprojects.html", "HTML", 0, -112, 0, 0, -8, -120
"c:\Users\Ana\Documents\GitHub\GondringPortfoliohtml2024\mainpages\navbar.html", "HTML", 0, -14, 0, 0, -2, -16
"c:\Users\Ana\Documents\GitHub\GondringPortfoliohtml2024\mainpages\navbar.js", "JavaScript", 0, 0, -38, -1, -2, -41
"c:\Users\Ana\Documents\GitHub\GondringPortfoliohtml2024\mainpages\resume.html", "HTML", 0, -208, 0, 0, -25, -233
"c:\Users\Ana\Documents\GitHub\GondringPortfoliohtml2024\mainpages\uxcasestudies.html", "HTML", 0, -154, 0, 0, -24, -178
"c:\Users\Ana\Documents\GitHub\GondringPortfoliohtml2024\mainpages\videoprojects.html", "HTML", 0, -104, 0, 0, -11, -115
"Total", "-", 838, -985, -38, 3, 115, -67
